geohash,day_of_week,weekend,day,hour,minute,n
9q59x8,5,0,14,21,10,75
9q59x8,5,0,14,21,20,72
9q59x8,5,0,14,21,5,71
9q59x8,5,0,14,21,15,70
9q59x8,5,0,14,21,0,68
9q59x8,5,0,14,21,25,67
9q59x8,5,0,14,22,30,64
9q59x8,5,0,14,21,40,63
9q59x8,5,0,14,22,35,63
9q59x8,5,0,14,22,25,62
9q59x8,5,0,14,22,40,62
9q59x9,3,0,12,22,40,62
9q59x9,3,0,12,23,5,62
9q59x8,5,0,14,21,30,61
9q59x9,3,0,12,22,45,61
9q59x8,5,0,14,21,45,60
9q59x8,5,0,14,21,50,60
9q59x8,5,0,14,22,15,60
9q59x8,5,0,14,22,20,60
9q59x8,5,0,14,23,10,60
9q59x9,3,0,12,22,35,60
9q59x9,3,0,12,22,55,60
9q59x9,3,0,12,23,0,60
9q59x9,3,0,12,23,10,60
9q59x9,3,0,12,23,35,60
9q59x9,3,0,12,23,40,60
9q59x9,3,0,12,23,45,60
9q59x9,3,0,12,23,50,60
9q59x8,5,0,14,21,55,59
9q59x8,5,0,14,23,5,59
9q59x9,3,0,12,22,30,59
9q59x9,3,0,12,22,50,59
9q59x9,3,0,12,23,15,59
9q59x9,3,0,12,23,20,59
9q59x9,3,0,12,23,25,59
9q59x9,3,0,12,23,30,59
9q59x9,3,0,12,23,55,59
9q59x8,5,0,14,22,45,58
9q59x8,5,0,14,22,50,58
9q59x8,5,0,14,22,55,58
9q59x9,3,0,12,22,20,58
9q59x9,3,0,12,22,25,58
9q59x8,5,0,14,21,35,57
9q59x8,5,0,14,22,0,57
9q59x8,5,0,14,22,10,57
9q59x8,5,0,14,23,15,57
9q59x9,3,0,12,21,0,57
9q59x9,3,0,12,21,5,57
9q59x9,3,0,12,21,40,57
9q59x9,3,0,12,22,10,57
9q59x8,5,0,14,23,0,56
9q59x8,5,0,14,23,20,56
9q59x8,5,0,14,23,25,56
9q59x8,5,0,14,23,30,56
9q59x8,5,0,14,23,55,56
9q59x9,3,0,12,21,10,56
9q59x9,3,0,12,21,15,56
9q59x9,3,0,12,21,35,56
9q59x9,3,0,12,21,45,56
9q59x9,3,0,12,21,50,56
9q59x9,3,0,12,22,5,56
9q59x9,3,0,12,22,15,56
9q59x8,5,0,14,22,5,55
9q59x8,5,0,14,23,45,55
9q59x8,5,0,14,23,50,55
9q59x9,3,0,12,21,20,55
9q59x9,3,0,12,21,25,55
9q59x9,3,0,12,21,30,55
9q59x9,6,1,15,23,25,55
9q59x9,3,0,12,21,55,54
9q59x9,3,0,12,22,0,54
9q59x9,6,1,15,23,20,54
9q59x8,5,0,14,23,40,53
9q59x9,6,1,15,23,10,53
9q59x9,6,1,15,23,15,53
9q59x9,6,1,15,23,30,53
9q59x9,6,1,15,23,35,53
9q59x8,5,0,14,23,35,52
9q59x9,6,1,15,23,0,51
9q59x9,6,1,15,23,5,51
9q59x9,6,1,15,23,45,51
9q59x9,6,1,15,23,50,51
9q59x9,6,1,15,23,40,50
9q59x9,6,1,15,23,55,50
9q59x9,2,0,11,22,15,49
9q59x9,2,0,11,22,20,49
9q59x8,3,0,12,21,20,48
9q59x8,3,0,12,21,25,48
9q59x9,2,0,11,23,55,48
9q59x8,3,0,12,21,10,47
9q59x8,3,0,12,21,15,47
9q59x8,4,0,13,21,15,47
9q59x8,4,0,13,22,0,47
9q59x9,2,0,11,22,10,47
9q59x9,2,0,11,22,30,47
9q59x9,2,0,11,23,45,47
9q59x9,2,0,11,23,50,47
9q59x9,2,0,11,22,5,46
9q59x9,2,0,11,22,25,46
9q59x9,2,0,11,22,40,46
9q59x9,2,0,11,23,5,46
9q59x9,2,0,11,23,40,46
9q59x8,3,0,12,21,5,45
9q59x8,3,0,12,21,30,45
9q59x8,4,0,13,21,5,45
9q59x8,4,0,13,21,10,45
9q59x8,4,0,13,21,20,45
9q59x8,4,0,13,21,55,45
9q59x9,2,0,11,21,40,45
9q59x9,2,0,11,21,55,45
9q59x9,2,0,11,22,0,45
9q59x9,2,0,11,22,35,45
9q59x9,2,0,11,22,55,45
9q59x9,2,0,11,23,0,45
9q59x9,2,0,11,23,15,45
9q59x9,2,0,11,23,30,45
9q59x9,2,0,11,23,35,45
9q59x9,6,1,15,21,0,45
9q59x9,6,1,15,22,15,45
9q59x9,6,1,15,22,20,45
9q59x9,6,1,15,22,55,45
9q59x8,4,0,13,21,0,44
9q59x8,4,0,13,21,25,44
9q59x8,4,0,13,22,5,44
9q59x9,2,0,11,21,0,44
9q59x9,2,0,11,21,5,44
9q59x9,2,0,11,21,10,44
9q59x9,2,0,11,21,35,44
9q59x9,2,0,11,21,45,44
9q59x9,2,0,11,22,45,44
9q59x9,2,0,11,22,50,44
9q59x9,2,0,11,23,10,44
9q59x9,2,0,11,23,25,44
9q59x9,6,1,15,21,5,44
9q59x9,6,1,15,21,55,44
9q59x9,6,1,15,22,40,44
9q59x9,6,1,15,22,50,44
9q59x8,3,0,12,21,0,43
9q59x8,4,0,13,21,30,43
9q59x9,2,0,11,21,50,43
9q59x9,2,0,11,23,20,43
9q59x9,6,1,15,22,45,43
9q59x8,2,0,11,21,30,42
9q59x8,2,0,11,21,55,42
9q59x8,2,0,11,22,0,42
9q59x8,2,0,11,22,5,42
9q59x8,3,0,12,21,35,42
9q59x8,4,0,13,21,35,42
9q59x8,4,0,13,21,40,42
9q59x8,4,0,13,21,50,42
9q59x9,2,0,11,21,15,42
9q59x9,2,0,11,21,20,42
9q59x9,2,0,11,21,25,42
9q59x9,6,1,15,21,50,42
9q59x9,6,1,15,22,35,42
9q59x8,2,0,11,21,35,41
9q59x8,2,0,11,22,20,41
9q59x8,4,0,13,21,45,41
9q59x8,4,0,13,22,10,41
9q59x9,2,0,11,21,30,41
9q59x9,6,1,15,21,10,41
9q59x9,6,1,15,21,15,41
9q59x9,6,1,15,21,45,41
9q59x9,6,1,15,22,0,41
9q59x9,6,1,15,22,25,41
9q59x9,6,1,15,22,30,41
9q59xd,6,1,15,21,45,41
9q59xd,6,1,15,21,50,41
9q59x8,2,0,11,22,15,40
9q59x8,4,0,13,22,15,40
9q59x8,4,0,13,22,20,40
9q59x9,4,0,13,23,10,40
9q59x9,6,1,15,21,20,40
9q59x9,6,1,15,21,35,40
9q59x9,6,1,15,21,40,40
9q59xd,4,0,13,23,25,40
9q59xd,4,0,13,23,30,40
9q59xd,4,0,13,23,35,40
9q59xd,5,0,14,23,55,40
9q59xd,6,1,15,21,40,40
9q59xd,6,1,15,21,55,40
9q59xd,6,1,15,22,15,40
9q59xd,6,1,15,22,45,40
9q59xd,6,1,15,23,0,40
9q59xd,6,1,15,23,20,40
9q59xd,6,1,15,23,40,40
9q59xd,6,1,15,23,45,40
9q59x8,2,0,11,21,20,39
9q59x8,2,0,11,21,40,39
9q59x8,2,0,11,22,10,39
9q59x8,2,0,11,22,45,39
9q59x8,2,0,11,23,20,39
9q59x8,2,0,11,23,50,39
9q59x8,2,0,11,23,55,39
9q59x9,4,0,13,22,10,39
9q59x9,4,0,13,22,15,39
9q59x9,4,0,13,22,20,39
9q59x9,4,0,13,22,25,39
9q59x9,4,0,13,22,30,39
9q59x9,4,0,13,22,35,39
9q59x9,4,0,13,22,55,39
9q59x9,4,0,13,23,5,39
9q59x9,4,0,13,23,15,39
9q59x9,4,0,13,23,20,39
9q59x9,4,0,13,23,25,39
9q59x9,4,0,13,23,30,39
9q59x9,4,0,13,23,35,39
9q59x9,4,0,13,23,40,39
9q59x9,6,1,15,21,25,39
9q59x9,6,1,15,21,30,39
9q59x9,6,1,15,22,5,39
9q59x9,6,1,15,22,10,39
9q59xd,4,0,13,23,20,39
9q59xd,6,1,15,21,35,39
9q59xd,6,1,15,22,10,39
9q59xd,6,1,15,22,20,39
9q59xd,6,1,15,22,30,39
9q59xd,6,1,15,22,35,39
9q59xd,6,1,15,22,40,39
9q59xd,6,1,15,22,50,39
9q59xd,6,1,15,23,5,39
9q59xd,6,1,15,23,15,39
9q59xd,6,1,15,23,25,39
9q59xd,6,1,15,23,50,39
9q59xd,6,1,15,23,55,39
9q59x8,2,0,11,21,25,38
9q59x8,2,0,11,21,45,38
9q59x8,2,0,11,22,25,38
9q59x8,2,0,11,22,30,38
9q59x8,2,0,11,22,35,38
9q59x8,2,0,11,22,40,38
9q59x8,2,0,11,22,50,38
9q59x8,2,0,11,23,10,38
9q59x8,2,0,11,23,15,38
9q59x8,2,0,11,23,25,38
9q59x8,2,0,11,23,45,38
9q59x8,3,0,12,21,40,38
9q59x8,4,0,13,22,25,38
9q59x8,4,0,13,22,30,38
9q59x9,4,0,13,22,40,38
9q59x9,4,0,13,22,45,38
9q59x9,4,0,13,22,50,38
9q59x9,4,0,13,23,0,38
9q59x9,4,0,13,23,45,38
9q59x9,4,0,13,23,50,38
9q59x9,4,0,13,23,55,38
9q59x9,5,0,14,22,5,38
9q59x9,5,0,14,22,40,38
9q59xd,3,0,12,23,40,38
9q59xd,3,0,12,23,50,38
9q59xd,4,0,13,22,30,38
9q59xd,4,0,13,23,0,38
9q59xd,4,0,13,23,5,38
9q59xd,4,0,13,23,10,38
9q59xd,6,1,15,21,30,38
9q59xd,6,1,15,22,0,38
9q59xd,6,1,15,22,25,38
9q59xd,6,1,15,22,55,38
9q59xd,6,1,15,23,10,38
9q59xd,6,1,15,23,30,38
9q59xd,6,1,15,23,35,38
9q59x8,2,0,11,21,15,37
9q59x8,2,0,11,21,50,37
9q59x8,2,0,11,22,55,37
9q59x8,2,0,11,23,0,37
9q59x8,3,0,12,22,0,37
9q59x8,3,0,12,23,55,37
9q59x9,4,0,13,21,0,37
9q59x9,4,0,13,21,5,37
9q59x9,4,0,13,21,35,37
9q59x9,4,0,13,21,40,37
9q59x9,4,0,13,21,45,37
9q59x9,4,0,13,22,5,37
9q59x9,5,0,14,21,45,37
9q59x9,5,0,14,21,55,37
9q59x9,5,0,14,22,35,37
9q59x9,5,0,14,23,15,37
9q59xd,3,0,12,23,35,37
9q59xd,3,0,12,23,45,37
9q59xd,3,0,12,23,55,37
9q59xd,4,0,13,21,30,37
9q59xd,4,0,13,21,35,37
9q59xd,4,0,13,21,40,37
9q59xd,4,0,13,21,45,37
9q59xd,4,0,13,22,35,37
9q59xd,4,0,13,23,15,37
9q59xd,4,0,13,23,40,37
9q59xd,4,0,13,23,45,37
9q59xd,4,0,13,23,50,37
9q59xd,4,0,13,23,55,37
9q59xd,5,0,14,23,50,37
9q59xd,6,1,15,22,5,37
9q59x3,5,0,14,23,35,36
9q59x8,2,0,11,21,0,36
9q59x8,2,0,11,21,5,36
9q59x8,2,0,11,23,5,36
9q59x8,2,0,11,23,30,36
9q59x8,2,0,11,23,35,36
9q59x8,2,0,11,23,40,36
9q59x8,3,0,12,21,45,36
9q59x8,3,0,12,23,45,36
9q59x8,3,0,12,23,50,36
9q59x8,4,0,13,22,35,36
9q59x8,4,0,13,23,30,36
9q59x8,4,0,13,23,45,36
9q59x8,4,0,13,23,50,36
9q59x9,4,0,13,21,50,36
9q59x9,4,0,13,21,55,36
9q59x9,4,0,13,22,0,36
9q59x9,5,0,14,21,50,36
9q59x9,5,0,14,22,0,36
9q59x9,5,0,14,22,45,36
9q59x9,5,0,14,23,20,36
9q59x9,5,0,14,23,25,36
9q59x9,5,0,14,23,30,36
9q59xd,3,0,12,21,45,36
9q59xd,3,0,12,22,40,36
9q59xd,3,0,12,22,45,36
9q59xd,3,0,12,22,50,36
9q59xd,3,0,12,22,55,36
9q59xd,3,0,12,23,0,36
9q59xd,3,0,12,23,5,36
9q59xd,3,0,12,23,10,36
9q59xd,3,0,12,23,15,36
9q59xd,3,0,12,23,20,36
9q59xd,3,0,12,23,25,36
9q59xd,3,0,12,23,30,36
9q59xd,4,0,13,21,20,36
9q59xd,4,0,13,21,50,36
9q59xd,4,0,13,21,55,36
9q59xd,4,0,13,22,5,36
9q59xd,4,0,13,22,25,36
9q59xd,4,0,13,22,40,36
9q59xd,4,0,13,22,45,36
9q59xd,4,0,13,22,50,36
9q59xd,4,0,13,22,55,36
9q59xd,5,0,14,23,40,36
9q59xd,5,0,14,23,45,36
9q59xd,6,1,15,21,15,36
9q59xd,6,1,15,21,20,36
9q59xd,6,1,15,21,25,36
9q59x3,5,0,14,23,15,35
9q59x3,5,0,14,23,25,35
9q59x3,5,0,14,23,40,35
9q59x3,5,0,14,23,45,35
9q59x8,2,0,11,21,10,35
9q59x8,3,0,12,21,50,35
9q59x8,3,0,12,21,55,35
9q59x8,3,0,12,22,5,35
9q59x8,3,0,12,22,10,35
9q59x8,3,0,12,22,30,35
9q59x8,3,0,12,22,35,35
9q59x8,3,0,12,22,40,35
9q59x8,3,0,12,22,45,35
9q59x8,3,0,12,22,50,35
9q59x8,3,0,12,22,55,35
9q59x8,3,0,12,23,10,35
9q59x8,3,0,12,23,15,35
9q59x8,3,0,12,23,20,35
9q59x8,3,0,12,23,30,35
9q59x8,4,0,13,22,40,35
9q59x8,4,0,13,22,45,35
9q59x8,4,0,13,23,35,35
9q59x9,4,0,13,21,10,35
9q59x9,4,0,13,21,30,35
9q59x9,5,0,14,22,50,35
9q59x9,5,0,14,23,35,35
9q59xd,3,0,12,22,10,35
9q59xd,3,0,12,22,15,35
9q59xd,3,0,12,22,20,35
9q59xd,3,0,12,22,25,35
9q59xd,3,0,12,22,35,35
9q59xd,4,0,13,21,25,35
9q59xd,4,0,13,22,0,35
9q59xd,4,0,13,22,10,35
9q59xd,5,0,14,22,30,35
9q59xd,5,0,14,22,35,35
9q59xd,5,0,14,22,45,35
9q59xd,6,1,15,21,5,35
9q59xd,6,1,15,21,10,35
9q59x3,5,0,14,23,20,34
9q59x3,5,0,14,23,30,34
9q59x3,5,0,14,23,50,34
9q59x3,5,0,14,23,55,34
9q59x6,6,1,15,23,0,34
9q59x6,6,1,15,23,5,34
9q59x8,3,0,12,22,15,34
9q59x8,3,0,12,22,25,34
9q59x8,3,0,12,23,0,34
9q59x8,3,0,12,23,25,34
9q59x8,3,0,12,23,35,34
9q59x8,4,0,13,22,50,34
9q59x8,4,0,13,22,55,34
9q59x8,4,0,13,23,0,34
9q59x8,4,0,13,23,5,34
9q59x8,4,0,13,23,55,34
9q59x9,4,0,13,21,15,34
9q59x9,4,0,13,21,20,34
9q59x9,5,0,14,22,15,34
9q59x9,5,0,14,22,20,34
9q59x9,5,0,14,22,25,34
9q59x9,5,0,14,22,30,34
9q59x9,5,0,14,23,40,34
9q59x9,5,0,14,23,45,34
9q59x9,5,0,14,23,50,34
9q59xd,3,0,12,21,40,34
9q59xd,3,0,12,22,0,34
9q59xd,3,0,12,22,5,34
9q59xd,3,0,12,22,30,34
9q59xd,4,0,13,22,15,34
9q59xd,4,0,13,22,20,34
9q59xd,5,0,14,22,5,34
9q59xd,5,0,14,22,10,34
9q59xd,5,0,14,22,15,34
9q59xd,5,0,14,22,20,34
9q59xd,5,0,14,22,40,34
9q59xd,5,0,14,22,50,34
9q59xd,5,0,14,22,55,34
9q59xd,5,0,14,23,0,34
9q59xd,5,0,14,23,10,34
9q59xd,5,0,14,23,15,34
9q59xd,5,0,14,23,20,34
9q59xd,5,0,14,23,25,34
9q59xd,6,1,15,21,0,34
9q59x3,6,1,15,21,15,33
9q59x3,6,1,15,21,20,33
9q59x6,3,0,12,21,0,33
9q59x6,3,0,12,21,30,33
9q59x6,3,0,12,21,35,33
9q59x6,3,0,12,21,55,33
9q59x6,3,0,12,22,15,33
9q59x6,3,0,12,22,20,33
9q59x6,6,1,15,22,55,33
9q59x6,6,1,15,23,10,33
9q59x6,6,1,15,23,15,33
9q59x8,3,0,12,23,5,33
9q59x8,3,0,12,23,40,33
9q59x8,4,0,13,23,15,33
9q59x8,4,0,13,23,20,33
9q59x8,4,0,13,23,25,33
9q59x8,4,0,13,23,40,33
9q59x9,4,0,13,21,25,33
9q59x9,5,0,14,21,35,33
9q59x9,5,0,14,21,40,33
9q59x9,5,0,14,22,10,33
9q59x9,5,0,14,22,55,33
9q59x9,5,0,14,23,0,33
9q59x9,5,0,14,23,55,33
9q59xd,3,0,12,21,50,33
9q59xd,3,0,12,21,55,33
9q59xd,4,0,13,21,10,33
9q59xd,4,0,13,21,15,33
9q59xd,5,0,14,21,55,33
9q59xd,5,0,14,22,0,33
9q59xd,5,0,14,22,25,33
9q59xd,5,0,14,23,5,33
9q59xd,5,0,14,23,30,33
9q59xd,5,0,14,23,35,33
9q59x3,2,0,11,22,30,32
9q59x3,2,0,11,22,35,32
9q59x3,6,1,15,21,10,32
9q59x3,6,1,15,23,50,32
9q59x3,6,1,15,23,55,32
9q59x6,3,0,12,21,5,32
9q59x6,3,0,12,21,10,32
9q59x6,3,0,12,21,20,32
9q59x6,3,0,12,21,25,32
9q59x6,3,0,12,21,45,32
9q59x6,3,0,12,21,50,32
9q59x6,6,1,15,22,20,32
9q59x6,6,1,15,22,50,32
9q59x6,6,1,15,23,20,32
9q59x8,3,0,12,22,20,32
9q59x8,4,0,13,23,10,32
9q59x9,5,0,14,23,5,32
9q59x9,5,0,14,23,10,32
9q59xd,3,0,12,21,25,32
9q59xd,3,0,12,21,30,32
9q59xd,4,0,13,21,0,32
9q59xd,4,0,13,21,5,32
9q59xd,5,0,14,21,35,32
9q59xd,5,0,14,21,50,32
9q59x3,2,0,11,22,40,31
9q59x3,2,0,11,22,45,31
9q59x3,2,0,11,22,50,31
9q59x3,2,0,11,23,55,31
9q59x3,3,0,12,23,15,31
9q59x3,4,0,13,23,40,31
9q59x3,4,0,13,23,45,31
9q59x3,4,0,13,23,50,31
9q59x3,4,0,13,23,55,31
9q59x3,5,0,14,23,10,31
9q59x3,6,1,15,21,25,31
9q59x3,6,1,15,21,40,31
9q59x3,6,1,15,23,45,31
9q59x6,3,0,12,21,15,31
9q59x6,3,0,12,21,40,31
9q59x6,3,0,12,22,0,31
9q59x6,3,0,12,22,10,31
9q59x6,3,0,12,22,25,31
9q59x6,3,0,12,23,0,31
9q59x6,3,0,12,23,5,31
9q59x6,3,0,12,23,10,31
9q59x6,3,0,12,23,20,31
9q59x6,3,0,12,23,25,31
9q59x6,3,0,12,23,30,31
9q59x6,3,0,12,23,35,31
9q59x6,3,0,12,23,40,31
9q59x6,3,0,12,23,45,31
9q59x6,3,0,12,23,50,31
9q59x6,3,0,12,23,55,31
9q59x6,6,1,15,22,25,31
